model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,gpu_brand,gpu_type,gpu_vram,gpu_series,cpu_brand,cpu_family,cpu_generation,cpu_series
Lenovo IdeaPad 3 15ITL6 82H8014BIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,61,55850,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Asus ROG Flow X13 GV301QH-K5462TS Gaming Laptop,Asus,AMD Ryzen 9,16,1000,0,Windows,4 GB NVIDIA GTX 1650,13.4,3840 x 2400,8,16,84,105990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 9,0,OTHER
Lenovo Yoga 9i 82BG005JIN Laptop,Lenovo,11th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,3840 x 2160,4,8,67,172990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,11,OTHER
Dell Inspiron 3501 Laptop,Dell,11th Gen Core i5,8,256,1000,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,57,61640,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Apple MacBook Air 2020 MGN73HN Laptop,Apple,Apple M1,8,512,0,Mac,APPLE M1 INTEGRATED,13.3,2560 x 1600,8,0,47,109990,APPLE,Integrated,0,APPLE,APPLE,M1,1,APPLE
Dell Inspiron 3593 Laptop,Dell,10th Gen Core i3,4,0,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,55,36990,INTEL,Integrated,0,UHD,INTEL,CORE I3,10,OTHER
Microsoft Surface Laptop 3 1873,Microsoft,V4G-00021) Laptop,8,128,0,Windows,AMD RADEON VEGA 9,15.0,2496 x 1664,4,8,59,99990,AMD,Integrated,0,VEGA,OTHER,OTHER,0,OTHER
HP EliteBook 840 G6,HP,7YY01PA) Laptop,8,512,0,Windows,2 GBRADEON RX 550,14.0,1920 x 1080,4,8,66,146000,OTHER,Dedicated,2,RX,OTHER,OTHER,0,OTHER
Dell Latitude 5320 2-in-1 Laptop,Dell,11th Gen Core i5,16,256,0,Windows,INTEL UHD,13.3,1920 x 1080,4,8,65,87999,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
Lenovo V15 ITL 82KBA03JIH Laptop,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,51,33990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Asus VivoBook 15 X1500EA-EJ3381WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,51,39400,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
HP Envy x360 15-ew0037TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,72,82999,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP 15s-eq2213AU Laptop,HP,AMD Ryzen 3 5300U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,4,8,55,40960,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
Asus Vivobook Pro 16X OLED N7601ZM-MQ711WS Gaming Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.0,3840 x 2400,10,16,86,168990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
HP Victus 16-d0310TX Gaming Laptop,HP,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,16.1,1920 x 1080,6,12,72,84419,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
HP Victus 15-fb0777AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX 6500M,15.6,1920 x 1080,6,12,68,70816,AMD,Dedicated,4,RX,AMD,RYZEN 5,5000,H
HP Victus 16-d0311TX Gaming Laptop,HP,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA GTX 1650,16.1,1920 x 1080,6,12,74,75990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
Dell G15-5520 D560897WIN9S Laptop,Dell,12th Gen Core i9,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,14,20,78,149899,NVIDIA,Dedicated,6,RTX,INTEL,CORE I9,12,OTHER
HP Victus 16-e0333TX Gaming Laptop,HP,AMD Ryzen 5 5600H,16,512,0,Windows,6 GB NVIDIA RTX 3060,16.1,1920 x 1080,6,12,73,92990,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 5,5000,H
Lenovo Legion 5 Pro 82RG00ELIN Laptop,Lenovo,AMD Ryzen 7 6800H,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.0,2560 x 1600,8,16,75,159990,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 7,6000,H
MSI Katana GF66 12UD Gaming Laptop,MSI,12th Gen Core i7,16,512,0,Windows,4 GB NVIDIA RTX 3050TI,15.6,1920 x 1080,14,20,76,105000,NVIDIA,Dedicated,4,RTX,INTEL,CORE I7,12,OTHER
MSI Pulse GL66 12UGSZOK Gaming Laptop,MSI,12th Gen Core i9,16,1000,0,Windows,8 GB NVIDIA RTX 3070TI,15.6,2560 x 1440,14,20,80,209000,NVIDIA,Dedicated,8,RTX,INTEL,CORE I9,12,OTHER
HP Pavilion 15-eg2091TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,63,74098,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Envy x360 15-ew0043TU 2-in-1 Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,71,99999,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Envy x360 15-ew0047TU 2-in-1 Laptop,HP,12th Gen Core i7,16,512,0,Windows,INTEL IRIS X,15.6,1920 x 1080,10,12,72,116000,INTEL,Integrated,0,OTHER,INTEL,CORE I7,12,OTHER
HP ProBook 445 G8 Laptop,HP,AMD Ryzen 7 5800U,16,512,0,Windows,AMD RADEON,14.0,1366 x 768,8,16,72,73999,AMD,Integrated,0,OTHER,AMD,RYZEN 7,5000,U
Apple MacBook Pro 16 inch Laptop,Apple,M2 Pro 12-core CPU,16,1000,0,Mac,19-CORE GPU,16.2,3456 x 2234,12,0,59,269900,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Apple MacBook Pro 16 inch Laptop,Apple,M2 Pro 12-core CPU,16,512,0,Mac,19-CORE GPU,16.2,3456 x 2234,12,0,55,249900,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Apple MacBook Pro 14 inch Laptop,Apple,M2 Max 12-core CPU,32,1000,0,Mac,30-CORE GPU,14.2,3024 x 1964,12,0,62,309900,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Apple MacBook Pro 14 inch Laptop,Apple,M2 Pro 12-core CPU,16,1000,0,Mac,19-CORE GPU,14.2,3024 x 1964,12,0,56,249900,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Apple MacBook Pro 14 inch Laptop,Apple,M2 Pro 10-core CPU,16,512,0,Mac,16-CORE GPU,14.2,3024 x 1964,10,0,54,199900,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
HP Pavilion Plus 14-eh0037TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,2880 x 1800,12,16,71,81990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Apple MacBook Pro 2022 Laptop,Apple,Apple M2,16,256,0,Mac,10 CORE GPU,13.3,2560 x 1600,8,0,44,149000,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Apple MacBook Air M2 2022 Laptop,Apple,Apple M2,16,512,0,Mac,10-CORE GPU,13.6,2560 x 1664,8,0,47,159000,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Apple MacBook Air 2022 Laptop,Apple,Apple M2,16,256,0,Mac,10-CORE GPU,13.6,2560 x 1664,8,0,44,137900,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Samsung Galaxy Book2 NP550XED-KA2IN Laptop,Samsung,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,8,12,59,70990,INTEL,Integrated,0,UHD,INTEL,CORE I5,12,OTHER
Lenovo Legion 7i 82TD009KIN Gaming Laptop,Lenovo,12th Gen Core i9,32,1000,0,Windows,16 GB NVIDIA RTX 3080 TI,16.0,2560 x 1600,16,24,90,359990,NVIDIA,Dedicated,16,RTX,INTEL,CORE I9,12,OTHER
Dell Inspiron 3511 D560783WIN9BD Laptop,Dell,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.56,1920 x 1080,2,4,57,61202,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Dell Vostro 3425 D552308WIN9B Laptop,Dell,AMD Ryzen 3 5425U,8,256,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,4,8,61,50852,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
HP 245 G8 ‎6E3Z1PA Laptop,HP,AMD Ryzen 3 3250U,8,512,0,DOS,AMD RADEON,14.0,1366 x 768,2,4,53,36000,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
MSI Modern 14 C12M-269IN Laptop,MSI,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,6,8,61,44990,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
Dell Inspiron 5420 ICC-C782537WIN8 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,12,16,68,91958,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP 15s-du3612TU Laptop,HP,11th Gen Core i3,8,256,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,62,41990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,53,49990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,61,62029,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Dell Vostro 3420 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL UHD,14.0,1920 x 1080,10,12,61,69900,INTEL,Integrated,0,UHD,INTEL,CORE I5,12,OTHER
Dell Inspiron 3520 2022 Laptop,Dell,12th Gen Core i5,8,256,1000,Windows,2 GBNVIDIA MX550,15.6,1920 x 1080,10,12,67,72990,NVIDIA,Dedicated,2,MX,INTEL,CORE I5,12,OTHER
HP Envy x360 15-ew0040TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,67,77990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Envy x360 15-ew0048TU Laptop,HP,12th Gen Core i7,16,1000,0,Windows,INTEL INTEGRATED IRIS XE,15.6,2880 x 1800,10,12,73,109990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
HP Envy x360 15-ew0043TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,65,84990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Dell G15-5520 Gaming Laptop,Dell,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,75,79990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
HP Pavilion 14-ec1005AU Laptop,HP,Ryzen 5 5625U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1080,6,12,61,59815,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP Pavilion 14-ec1005AU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,63,75990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Envy x360 13-bf0121TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,13.4,1920 x 1200,10,12,72,79990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Envy x360 13-ay1064AU 2-in-1 Laptop,HP,Ryzen 7 5800U,16,512,0,Windows,AMD RADEON,13.3,1920 x 1080,8,16,72,98000,AMD,Integrated,0,OTHER,AMD,RYZEN 7,5000,U
Dell Vostro 3520 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,56,60070,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus ROG Zephyrus G15 GA503RMZ-LN155WS Gaming Laptop,Asus,AMD Ryzen 7 6800HS,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,8,16,81,157990,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 7,6000,HS
Dell Vostro 3420 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,10,12,59,57990,INTEL,Integrated,0,UHD,INTEL,CORE I5,12,OTHER
Dell Vostro 3525 Laptop,Dell,AMD R5-5625U,16,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,6,12,62,55530,AMD,Integrated,0,OTHER,AMD,OTHER,0,U
Dell Vostro 3525 Laptop,Dell,AMD Ryzen 5-5625U,8,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,6,12,60,51499,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Dell Vostro 3420 Laptop,Dell,12th Gen Core i3,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,6,8,56,43990,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
Asus ROG Zephyrus G15 GA503RSZ-HQ061WS Gaming Laptop,Asus,AMD Ryzen 9 6900HS,16,1000,0,Windows,8 GB NVIDIA RTX 3070TI,15.6,2560 x 1440,8,16,85,211990,NVIDIA,Dedicated,8,RTX,AMD,RYZEN 9,6000,HS
MSI Modern 15 B12M Laptop,MSI,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,62,67990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
MSI Modern 15 B12M Laptop,MSI,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,62,57990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
MSI Modern 14 C12M Laptop,MSI,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,59,56990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus Vivobook 15 X1502ZA-EJ381WS Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,10,12,55,42990,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
HP 240 G8 Business Laptop,HP,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED,14.0,1366 x 768,4,8,56,52999,INTEL,Integrated,0,OTHER,INTEL,CORE I5,11,OTHER
HP Victus 15-fa0031dx Gaming Laptop,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,8,12,69,79888,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,12,OTHER
Lenovo Thinkpad P15v 21AAS05L00 Laptop,Lenovo,11th Gen Core i7,16,1000,0,Windows,4 GB NVIDIA QUADRO T600,15.6,1920 x 1080,8,16,79,159999,NVIDIA,Dedicated,4,OTHER,INTEL,CORE I7,11,OTHER
Acer Aspire 5 A515-57 2022 Laptop,Acer,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,66,61990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Pavilion x360 14-ek0137TU Laptop,HP,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,6,8,66,59990,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
Dell Vostro 3510 ICC-D585046WIN8 Laptop,Dell,Intel Pentium Gold 7505,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,53,32990,INTEL,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
HP 240 G8 4K5D5PA Business Laptop,HP,11th Gen Core i3,8,512,0,DOS,INTEL INTEGRATED,14.0,1366 x 768,2,4,44,35000,INTEL,Integrated,0,OTHER,INTEL,CORE I3,11,OTHER
Lenovo E41-55 82FJ00B5IH Laptop,Lenovo,Athlon 3050U,4,0,1000,DOS,AMD RADEON AMD,14.0,1366 x 768,2,2,47,18990,AMD,Integrated,0,OTHER,AMD,ATHLON,0,U
Lenovo E41-55 82FJ00B5IH Laptop,Lenovo,Athlon 3050U,4,256,0,DOS,AMD RADEON AMD,14.0,1366 x 768,2,2,48,18990,AMD,Integrated,0,OTHER,AMD,ATHLON,0,U
MSI Katana GF66 12UC-632IN Gaming Laptop,MSI,12th Gen Core i7,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,14,20,73,80990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I7,12,OTHER
Lenovo IdeaPad Flex 5 14ALC7 82R9006PIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1200,6,12,69,72690,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Lenovo V14 Gen 2 ‎82C40019IX Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,56,49999,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Asus ROG Strix G15 G513IE-HN088WS Gaming Laptop,Asus,Ryzen 7 4800H,8,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,8,16,69,76990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,4000,H
Asus Vivobook 14 OLED UX3402ZA-KN531WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,69,95980,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad Slim 3 82RJ0040IN Laptop,Lenovo,12th Gen Core i3,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,6,8,59,52900,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
Ultimus S151 NU14U2INC43VN-CS Laptop,Ultimus,Celeron N4020,4,128,0,Windows,INTEL INTEGRATED UHD,14.1,1920 x 1080,2,2,48,19990,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
HP Pavilion 14-dv2014TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,10,12,65,68918,INTEL,Integrated,0,UHD,INTEL,CORE I5,12,OTHER
Ultimus S151 NU14U2INC43VD-CS Laptop,Ultimus,Celeron N4020,4,128,0,DOS,INTEL INTEGRATED UHD,14.1,1920 x 1080,2,2,44,17990,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Ultimus S152 NU15U2INC44VN-SG Laptop,Ultimus,Celeron N4020,4,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,50,23990,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Lenovo Legion S7 82TF007LIN Gaming Laptop,Lenovo,12th Gen Core i7,16,1000,0,Windows,4 GB NVIDIA RTX 3050 TI,16.0,2560 x 1600,14,20,84,149990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I7,12,OTHER
Acer Aspire 5 A515-57 NX.K2VSI.002 Laptop,Acer,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,6,8,59,42990,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
MSI Stealth GS66 12UGS-290IN Gaming Laptop,MSI,12th Gen Core i7,32,1000,0,Windows,8 GB NVIDIA RTX 3070TI,15.6,2560 x 1440,14,20,96,288990,NVIDIA,Dedicated,8,RTX,INTEL,CORE I7,12,OTHER
HP Envy x360 13-AY1065AU Laptop,HP,AMD Ryzen 5-5600U,8,512,0,Windows,AMD RADEON,13.3,1920 x 1080,6,12,65,75190,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Dell Latitude 14 7420 Laptop,Dell,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,57,98280,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Acer Aspire 5 A515-57 Laptop,Acer,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,63,57990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad Slim 3 82H802XXIN Laptop,Lenovo,11th Gen Core i5,16,512,0,Windows,INTEL UHD,15.6,1920 x 1080,4,8,63,59290,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
Gigabyte G5 KE RC55KE Laptop,Gigabyte,12th Gen Core i5,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,12,16,74,103890,NVIDIA,Dedicated,6,RTX,INTEL,CORE I5,12,OTHER
Gigabyte G5 ME RC55ME Laptop,Gigabyte,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,12,16,68,85990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Gigabyte G5 GE RC55GE Laptop,Gigabyte,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,66,109990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Dell Inspiron 7420 D560918WIN9S Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,10,12,67,74990,INTEL,Integrated,0,UHD,INTEL,CORE I5,12,OTHER
Lenovo ThinkPad X13 21BNS03K00 Laptop,Lenovo,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1200,12,16,71,200000,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Acer Nitro 5 AN515-45 UN.QCLSI.005 Gaming Laptop,Acer,AMD Ryzen 5 5600H,16,512,1000,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,72,75990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 5,5000,H
Acer Nitro 5 AN515-45 UN.QCLSI.006 Gaming Laptop,Acer,AMD Ryzen 5 5600H,8,512,1000,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,69,68990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 5,5000,H
Acer Nitro 5 AN515-45 UN.QBMSI.009 Gaming Laptop,Acer,AMD Ryzen 5 5600H,16,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,71,63990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,5000,H
HP Envy x360 13-bf0085TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1200,10,12,63,79990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP 240 G8 Business Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED,14.0,1366 x 768,2,4,49,34440,INTEL,Integrated,0,OTHER,INTEL,CORE I3,11,OTHER
Lenovo Ideapad Slim 3 81WD014XIN Laptop,Lenovo,10th Gen Core i3,4,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,54,31990,INTEL,Integrated,0,UHD,INTEL,CORE I3,10,OTHER
Lenovo ThinkPad T14 20W0S1HU00 Laptop,Lenovo,11th Gen Core i7,16,512,0,Windows,2 GBNVIDIA MX450,14.0,1920 x 1080,4,8,69,140200,NVIDIA,Dedicated,2,MX,INTEL,CORE I7,11,OTHER
HP Pavilion 14-ek0084TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,60,71020,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus Eeebook 14 E410KA-BV092W Laptop,Asus,Celeron N4500,4,256,0,Windows,INTEL UHD,14.0,1920 x 1080,2,2,44,24500,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
HP 240 G8 689T7PA Business Laptop,HP,intel Core i3,8,512,0,Windows,INTEL INTEGRATED,14.0,1366 x 768,0,0,50,34440,INTEL,Integrated,0,OTHER,INTEL,CORE I3,0,OTHER
Lenovo ThinkPad E14 G3 20Y700B5IG Laptop,Lenovo,Ryzen 7 5700U,16,512,0,Windows,AMD RAEDON,14.0,1920 x 1080,8,16,68,74990,AMD,Integrated,0,OTHER,AMD,RYZEN 7,5000,U
Lenovo V14 82KAA057IH Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,53,32499,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo IdeaPad Slim 3 82H802XVIN Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,48,37100,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo ThinkPad E14 Gen 2 20TAS08F00 Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL UHD,14.1,1920 x 1080,4,8,61,76890,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
Dell Inspiron 3520 D560878WIN9S Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED INTEGRATED,15.6,1920 x 1080,10,12,57,64490,INTEL,Integrated,0,OTHER,INTEL,CORE I5,12,OTHER
Asus Vivobook 14 OLED UX3402ZA-KN731WS Laptop,Asus,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,69,108990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Lenovo Ideapad Slim 3 81WB01FYIN Laptop,Lenovo,10th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED,15.6,1920 x 1080,2,4,50,33990,INTEL,Integrated,0,OTHER,INTEL,CORE I3,10,OTHER
Dell Inspiron 3525 D560863WIN9B Laptop,Dell,AMD Ryzen 5 5625U,8,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,6,12,62,51490,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Lenovo Thinkpad E14 Gen 2 20TAS0Y800 Laptop,Lenovo,11th Gen Core i5,8,512,0,DOS,INTEL UHD,14.1,1920 x 1080,4,8,50,72990,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
